title,type,year,rated,released,genre,director,writer,language,country,imdb_id,imdb_rating,imdb_votes,production,website,poster
Welcome to Eden,movie,2020,N/A,20 Aug 2020,"Short, Drama, Romance",Amir Zargara,Amir Zargara,English,Canada,tt11760356,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNWQwNGZiZGUtZDQ2Ni00ZTlkLWJmMWItNDliNmJhNmQ4NmE2XkEyXkFqcGdeQXVyMTAyMTUyNTgw._V1_SX300.jpg
The Takedown,series,2005–,N/A,N/A,N/A,N/A,N/A,English,United States,tt0460683,7.5,16,N/A,N/A,N/A
Thar,movie,2022,N/A,06 May 2022,"Crime, Thriller, Western",Raj Singh Chaudhary,"Raj Singh Chaudhary, Anurag Kashyap",Hindi,India,tt14479746,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BOWY1NjE2MzUtYTVjOC00ZDUxLWIwZDUtMzk5YWQ5ODc5YTI5XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_SX300.jpg
The Sound of Magic,series,2022–,TV-14,06 May 2022,"Drama, Fantasy, Music",N/A,N/A,Korean,South Korea,tt14460684,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTcyOTI0MDAtNWUyYi00MzUxLTk4MWYtY2E5MGFmYmY4MDI4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg
Marmaduke,movie,2010,PG,04 Jun 2010,"Comedy, Family",Tom Dey,"Tim Rasmussen, Vince Di Meglio, Brad Anderson",English,United States,tt1392197,4.3,"15,495",N/A,N/A,https://m.media-amazon.com/images/M/MV5BM2ZkMGNmMmUtYzVlZS00YTNmLTg1YTUtMGZkN2I1NGMwNWY0XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg
Along for the Ride,movie,2016,Not Rated,03 Nov 2017,Documentary,Nick Ebeling,"Satya De La Manitou, Nick Ebeling, A.P. Menzies",English,United States,tt3986978,6.8,286,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTc3NDkyMTI1Ml5BMl5BanBnXkFtZTgwMjgzMzQwNDI@._V1_SX300.jpg
Red Card,series,2005,N/A,12 Feb 2005,Reality-TV,N/A,"Michael Hetelson, Wally Smerconish",English,United States,tt7323720,N/A,N/A,N/A,N/A,N/A
A Drop of Blood,movie,2015,N/A,12 Oct 2015,"Short, Drama",Bekim Guri,Bekim Guri,Albanian,Kosovo,tt7605982,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNThjNTRmMjktNTQwYy00NzNhLTg0MWYtZjI0YmQ3NTE2ZTM0XkEyXkFqcGdeQXVyNDUyMjk4NTY@._V1_SX300.jpg
Wild Babies,movie,1918,N/A,N/A,"Documentary, Short",Raymond L. Ditmars,N/A,"None, English",United States,tt1464340,N/A,N/A,N/A,N/A,N/A
The Pentaverate,series,2022–,N/A,05 May 2022,Comedy,N/A,Mike Myers,English,United States,tt10203880,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNzhhMDg0ZmUtNTBhOS00MzlhLWE4NjktNjUzNjA1N2Q0OGVjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg
Clark,movie,1977,N/A,19 Sep 1977,"Documentary, Biography",Poul Martinsen,"Poul Martinsen, Clark Olofsson",Swedish,Denmark,tt0123691,4.9,11,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZmQxZjlkOWMtZDJlZS00MzAwLWE2NGYtYzRhZTliMDJiZjU0XkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg
Blood Sisters,movie,1987,R,N/A,"Horror, Thriller",Roberta Findlay,Roberta Findlay,English,United States,tt0092673,3.7,721,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTcxMGI4NGEtMzY5YS00YTE5LThhMzktZDljZGEwMjExYmU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
40 Years Young,movie,2014,N/A,N/A,"Documentary, Short, Adventure",Ngoc Tran,Ngoc Tran (story),English,USA,tt3569614,N/A,N/A,N/A,N/A,N/A
Showtime 1958,movie,2020,N/A,01 Jun 2020,Drama,Anwardi Jamil,"Anwardi Jamil, Jamil Sulong",Malay,Malaysia,tt11900444,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYTYyODc0MGUtZjIzZS00OWFlLWIzZjctNGU0MjllYjIyYjExXkEyXkFqcGdeQXVyMDM3MzU0Ng@@._V1_SX300.jpg
Let the Right One In,movie,2008,R,12 Dec 2008,"Drama, Fantasy, Horror",Tomas Alfredson,John Ajvide Lindqvist,"Swedish, Spanish",Sweden,tt1139797,7.9,"214,495",N/A,N/A,https://m.media-amazon.com/images/M/MV5BOWM4NTY2NTMtZDZlZS00NTgyLWEzZDMtODE3ZGI1MzI3ZmU5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg
The Gateway,movie,2018,TV-MA,13 Feb 2018,Sci-Fi,John V. Soto,"John V. Soto, Michael White",English,Australia,tt6179746,5.4,"5,480",N/A,N/A,https://m.media-amazon.com/images/M/MV5BM2M3MDdjYmUtODRiYi00MWE4LTg3NWItMWUyOTlkNTc2N2I0XkEyXkFqcGdeQXVyMzc1ODc4Ng@@._V1_SX300.jpg
Twilight,movie,2008,PG-13,21 Nov 2008,"Drama, Fantasy, Romance",Catherine Hardwicke,"Melissa Rosenberg, Stephenie Meyer",English,United States,tt1099212,5.2,"453,523",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_SX300.jpg
