title,type,year,rated,released,genre,director,writer,language,country,imdb_id,imdb_rating,imdb_votes,production,website,poster
My Mister,series,2018,N/A,21 Mar 2018,"Drama, Family",N/A,N/A,Korean,South Korea,tt7923710,9.1,"2,830",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNGFiNGYzMjMtYjJjYi00MTc4LWEyMTUtNGRlZGYzMTNhNTM3XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SX300.jpg
Running Man,series,2010–,TV-14,11 Jul 2010,"Comedy, Game-Show, Reality-TV",N/A,N/A,Korean,South Korea,tt2185037,9.0,"2,606",N/A,N/A,https://m.media-amazon.com/images/M/MV5BYTU3YjU3NWUtMDk3NS00ZjI4LWExMDEtZWI0ZDJkOGI1MDExXkEyXkFqcGdeQXVyOTU0MjgwMzU@._V1_SX300.jpg
Reply 1988,series,2015–2016,N/A,06 Nov 2015,"Comedy, Drama, Family",N/A,N/A,Korean,South Korea,tt5182866,9.1,"3,434",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNDYwODdiOTItZTExZC00ZDZjLTkyODMtMWYxODVlMjQ0YjQxXkEyXkFqcGdeQXVyNjExNTE4MzU@._V1_SX300.jpg
Signal,series,2016,N/A,22 Jan 2016,"Crime, Drama, Fantasy, Sci-Fi, Thriller",N/A,N/A,Korean,South Korea,tt5332206,8.6,"4,181",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMzBiMzgxYjctODhhYi00ZDE3LWJkZWMtNWI4MWViMzJiOGUyXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Mr. Sunshine,series,2018,TV-MA,07 Jul 2018,"Action, Drama, History, Romance, War",N/A,N/A,"Korean, Japanese, English",South Korea,tt7094780,8.8,"4,397",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZDM4OTcxOGItYjRkYy00YTI4LWI3YjctYzMxN2Q1ZjNmYTcyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Crash Landing on You,series,2019–2020,TV-14,14 Dec 2019,"Comedy, Romance",N/A,N/A,Korean,South Korea,tt10850932,8.7,"12,399",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMzRiZWUyN2YtNDI4YS00NTg2LTg0OTgtMGI2ZjU4ODQ4Yjk3XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg
SKY Castle,series,2018–2019,N/A,23 Nov 2018,"Drama, Mystery",N/A,N/A,Korean,South Korea,tt9151274,8.7,"1,642",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTQ1YmFmYmEtZjEwZi00NTI1LWJmMzYtY2NiN2YxMDM5NjJmXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Hello Carbot the Movie: The Cretaceous Period,movie,2018,N/A,01 Aug 2018,"Animation, Adventure, Sci-Fi",Shinkyu Choi,N/A,Korean,South Korea,tt8727860,8.7,7,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYzE0NzMxOWEtYWViYS00MTI3LWIyZjEtOTk3ZTJmMzI1MjM3XkEyXkFqcGdeQXVyNzEyMDQ1MDA@._V1_SX300.jpg
Adventure Time,series,2010–2018,TV-PG,05 Apr 2010,"Animation, Short, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",N/A,Pendleton Ward,"Spanish, English, Korean","USA, South Korea, Spain, Mexico",tt1305826,8.6,"76,936",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZGY2ZGFkYjctOWY2Ni00MGQ5LWE4OTItNjJhNzA5MWFmMjk1XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg
Moon Lovers: Scarlet Heart Ryeo,series,2016,N/A,29 Aug 2016,"Drama, Fantasy, History, Romance",N/A,N/A,Korean,South Korea,tt5320412,8.7,"5,111",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNmVmZWRmMjctZDk3OS00MzNlLTllNjAtZmI3YmJhNDRmZTc4XkEyXkFqcGdeQXVyNjgzNjE2MzY@._V1_SX300.jpg
