title,type,year,rated,released,genre,director,writer,language,country,imdb_id,imdb_rating,imdb_votes,production,website,poster
My Mister,series,2018,N/A,21 Mar 2018,"Drama, Family",N/A,N/A,Korean,South Korea,tt7923710,9.1,"2,830",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNGFiNGYzMjMtYjJjYi00MTc4LWEyMTUtNGRlZGYzMTNhNTM3XkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SX300.jpg
Running Man,series,2010–,TV-14,11 Jul 2010,"Comedy, Game-Show, Reality-TV",N/A,N/A,Korean,South Korea,tt2185037,9.0,"2,606",N/A,N/A,https://m.media-amazon.com/images/M/MV5BYTU3YjU3NWUtMDk3NS00ZjI4LWExMDEtZWI0ZDJkOGI1MDExXkEyXkFqcGdeQXVyOTU0MjgwMzU@._V1_SX300.jpg
Reply 1988,series,2015–2016,N/A,06 Nov 2015,"Comedy, Drama, Family",N/A,N/A,Korean,South Korea,tt5182866,9.1,"3,434",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNDYwODdiOTItZTExZC00ZDZjLTkyODMtMWYxODVlMjQ0YjQxXkEyXkFqcGdeQXVyNjExNTE4MzU@._V1_SX300.jpg
Signal,series,2016,N/A,22 Jan 2016,"Crime, Drama, Fantasy, Sci-Fi, Thriller",N/A,N/A,Korean,South Korea,tt5332206,8.6,"4,181",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMzBiMzgxYjctODhhYi00ZDE3LWJkZWMtNWI4MWViMzJiOGUyXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Mr. Sunshine,series,2018,TV-MA,07 Jul 2018,"Action, Drama, History, Romance, War",N/A,N/A,"Korean, Japanese, English",South Korea,tt7094780,8.8,"4,397",N/A,N/A,https://m.media-amazon.com/images/M/MV5BZDM4OTcxOGItYjRkYy00YTI4LWI3YjctYzMxN2Q1ZjNmYTcyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
Crash Landing on You,series,2019–2020,TV-14,14 Dec 2019,"Comedy, Romance",N/A,N/A,Korean,South Korea,tt10850932,8.7,"12,399",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMzRiZWUyN2YtNDI4YS00NTg2LTg0OTgtMGI2ZjU4ODQ4Yjk3XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg
Prison Playbook,series,2017–2018,N/A,22 Nov 2017,"Comedy, Drama",N/A,N/A,Korean,South Korea,tt7622902,8.4,"1,676",N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTQzMzYwNzEtY2U1Zi00MTA1LWJhZTctZjE2NjMzYjlmNmQwXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Tunnel,series,2017,N/A,25 Mar 2017,"Crime, Fantasy, Thriller",N/A,N/A,Korean,South Korea,tt6356086,8.3,"1,743",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTM1MzFkZGQtM2FkNC00ZGEyLTkwYWQtOWVkODhhM2NlYzkyXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg
Hyena,series,2020–,N/A,21 Feb 2020,"Drama, Romance",N/A,N/A,Korean,South Korea,tt11534164,7.8,502,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYzZmNjljMWQtMzE5MS00YjIzLTg2MGItMmNmNWE0MzEyYWFhXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg
Kingdom,series,2019–,TV-MA,25 Jan 2019,"Action, Drama, Horror, Thriller",N/A,N/A,Korean,South Korea,tt6611916,8.4,"29,832",N/A,N/A,https://m.media-amazon.com/images/M/MV5BNTBlZmE4YzItNTY5Mi00NmIxLTlhZTAtOWIxNjFlNTMzNmI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
